,BOND,CANA,BUND,GILT,JGB
1999-02-10,4.9300 ,5.0680 ,3.7940 ,4.2810 ,2.1310 
1999-02-11,4.9200 ,5.0640 ,3.7780 ,4.2820 ,2.1310 
1999-02-12,5.0530 ,5.1630 ,3.8390 ,4.4120 ,2.2100 
1999-02-15,5.0590 ,5.1730 ,3.9120 ,4.4470 ,2.2700 
1999-02-16,5.0130 ,5.1540 ,3.9140 ,4.4170 ,2.1100 
1999-02-17,4.9700 ,5.1330 ,3.8970 ,4.4160 ,2.0570 
1999-02-18,5.0530 ,5.1600 ,3.9230 ,4.4130 ,2.0100 
1999-02-19,5.0740 ,5.1670 ,3.9000 ,4.3910 ,1.8850 
1999-02-22,5.0140 ,5.1380 ,3.8830 ,4.3480 ,1.8650 
1999-02-23,5.1100 ,5.2040 ,3.8600 ,4.3220 ,1.9980 
1999-02-24,5.1750 ,5.2810 ,3.8770 ,4.3540 ,1.9920 
1999-02-25,5.3490 ,5.3590 ,3.9530 ,4.5110 ,2.0070 
1999-02-26,5.2870 ,5.3810 ,4.0110 ,4.5300 ,2.0150 
1999-03-01,5.3900 ,5.4310 ,4.0970 ,4.6240 ,1.9650 
1999-03-02,5.3200 ,5.3470 ,4.0800 ,4.6050 ,1.9310 
1999-03-03,5.3840 ,5.3930 ,4.1310 ,4.7000 ,1.7930 
1999-03-04,5.4190 ,5.4140 ,4.1760 ,4.7100 ,1.7300 
1999-03-05,5.3140 ,5.3410 ,4.0120 ,4.5800 ,1.6780 
1999-03-08,5.2630 ,5.3370 ,4.0610 ,4.5970 ,1.7550 
1999-03-09,5.1720 ,5.2660 ,4.1070 ,4.6680 ,1.8300 
1999-03-10,5.1910 ,5.2660 ,4.0830 ,4.6140 ,1.8000 
1999-03-11,5.2000 ,5.2530 ,4.0650 ,4.5700 ,1.8780 
1999-03-12,5.1470 ,5.1850 ,4.0280 ,4.5560 ,1.8340 
1999-03-15,5.1470 ,5.1650 ,4.0190 ,4.5560 ,1.9120 
1999-03-16,5.1070 ,5.1830 ,3.9820 ,4.4870 ,1.9280 
1999-03-17,5.1220 ,5.2210 ,3.9420 ,4.4340 ,1.8350 
1999-03-18,5.1030 ,5.1940 ,3.9180 ,4.4340 ,1.8110 
1999-03-19,5.1840 ,5.2160 ,3.9250 ,4.4580 ,1.7960 
1999-03-22,5.1990 ,5.2560 ,3.9720 ,4.4800 ,1.7960 
