,BOND,CANA,BUND,GILT,JGB
33675,46.3125 ,48.6500 ,53.7500 ,48.7600 ,62.4400 
33676,46.0781 ,48.1700 ,53.6400 ,48.4400 ,62.4900 
33679,46.0938 ,48.1600 ,53.6200 ,48.5000 ,62.4900 
33680,46.3438 ,49.1400 ,53.7400 ,48.7900 ,62.6700 
33681,46.3594 ,48.7200 ,53.6100 ,48.5500 ,62.6800 
33682,46.5000 ,48.8500 ,53.5400 ,48.3400 ,62.8200 
33683,46.3125 ,48.8400 ,53.3200 ,48.2500 ,62.8200 
33686,46.3594 ,48.9600 ,53.1000 ,48.3800 ,62.8200 
33687,46.6875 ,49.3500 ,53.1800 ,48.4900 ,62.7900 
33688,46.7344 ,49.5100 ,53.2900 ,48.5500 ,62.7900 
33689,46.5469 ,49.2100 ,53.1800 ,48.3000 ,62.8400 
33690,46.6250 ,49.3300 ,53.1000 ,47.9900 ,62.9300 
33693,46.6563 ,49.1700 ,53.2200 ,48.2300 ,62.9400 
33694,46.6406 ,49.1900 ,53.2500 ,48.1700 ,62.8000 
33695,46.9375 ,49.1500 ,53.1500 ,47.7700 ,62.6100 
33696,46.8750 ,48.8900 ,53.1500 ,47.8800 ,62.1600 
33697,47.1094 ,49.1600 ,53.2400 ,47.8600 ,61.6400 
33700,47.1250 ,49.2500 ,53.5200 ,47.8600 ,61.8800 
33701,47.1094 ,49.2800 ,53.5700 ,48.0700 ,61.7900 
33702,46.9844 ,49.3000 ,53.5600 ,48.2800 ,61.9100 
33703,47.3750 ,49.4600 ,53.5900 ,48.5800 ,61.8000 
33704,47.2969 ,49.5600 ,53.7700 ,50.3900 ,62.2100 
33707,47.4219 ,49.5200 ,53.6600 ,50.6200 ,62.0400 
33708,47.4219 ,49.5700 ,53.6800 ,50.7300 ,62.0600 
33709,47.3281 ,49.5800 ,53.6900 ,50.8200 ,62.1900 
33710,47.0781 ,49.3800 ,53.5700 ,50.5800 ,62.1300 
33711,47.0781 ,49.3800 ,53.5700 ,50.5800 ,61.9800 
33714,46.6719 ,48.9600 ,53.5700 ,50.5800 ,61.5800 
33715,46.7344 ,48.8000 ,53.5200 ,50.5000 ,61.6500 
33716,46.7656 ,48.9800 ,53.5600 ,50.5800 ,61.6500 
33717,46.6875 ,49.0000 ,53.2400 ,50.3000 ,61.8700 
33718,46.8438 ,49.1700 ,53.1500 ,50.3800 ,61.7600 
33721,46.7031 ,48.9400 ,53.2900 ,50.6300 ,61.5400 
33722,46.7969 ,49.1100 ,53.2200 ,50.5700 ,61.5000 
33723,46.7188 ,49.2000 ,53.1700 ,50.5700 ,61.5000 
33724,46.6563 ,49.1800 ,53.1400 ,50.4200 ,61.5100 
33725,46.9219 ,49.6600 ,53.1400 ,50.6600 ,61.6100 
33728,46.8281 ,49.4900 ,53.0700 ,50.6600 ,61.6100 
33729,46.8906 ,49.4800 ,52.9300 ,50.3600 ,61.6100 
33730,47.0938 ,49.6900 ,53.1300 ,50.5400 ,61.8100 
33731,47.0000 ,49.7300 ,53.2700 ,50.5200 ,61.9300 
33732,47.2813 ,49.9900 ,53.1300 ,50.5200 ,62.0000 
33735,47.2813 ,50.1600 ,53.1600 ,50.5200 ,62.0400 
33736,47.4531 ,50.2600 ,53.1500 ,50.4600 ,62.0400 
33737,47.5000 ,50.1800 ,53.1800 ,50.6600 ,62.4600 
33738,47.4688 ,50.1700 ,53.1400 ,50.5800 ,62.4300 
33739,47.7188 ,50.3000 ,53.0800 ,50.7800 ,62.2800 
33742,47.7188 ,50.3000 ,53.4000 ,50.8700 ,62.3400 
